salt,vacuum,SBU,smiles
0,1,0,O=C(C1=CC=C(C2=CC=C(C(O)=O)S2)S1)O
0,0,1,O=C(C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)C4=CC=C(C=C4)C(O)=O)(C5=CC=C(C=C5)C6=CC=C(C=C6)C(O)=O)C7=CC=C(C=C7)C8=CC=C(C=C8)C(O)=O)O
0,0,0,CC(C=C1C(C=C2)=CC=C2C(O)=O)=C(C=C1C)C3=CC=C(C=C3)C(O)=O
0,0,0,O=C(C1=CC=C(C=C1)C(O)=O)O
0,0,0,CC(C=C1C(C=C2)=CC=C2C(O)=O)=C(C=C1C)C3=CC=C(C=C3)C(O)=O
0,0,0,CC(C=C1C(C=C2)=CC=C2C(O)=O)=C(C=C1C)C3=CC=C(C=C3)C(O)=O
0,0,0,COC1=C(C2=CC=C(C(O)=O)C=C2)C=C(OC)C(C(C=C3)=CC=C3C(O)=O)=C1
0,0,0,O=C(C1=CC=C(C2=CC=C(/C(C3=CC=C(C4=CC=C(C(O)=O)C=C4)C=C3)=C(C5=CC=C(C6=CC=C(C(O)=O)C=C6)C=C5)/C7=CC=C(C8=CC=C(C(O)=O)C=C8)C=C7)C=C2)C=C1)O
1,0,0,O=C(C1=CC=C(C2=CC(C)=C(C3=C(C4=C56)C=CC6=C(C7=C(C)C=C(C8=CC=C(C(O)=O)C=C8)C(C)=C7)C=C(C9=C(C)C=C(C%10=CC=C(C(O)=O)C=C%10)C(C)=C9)C5=CC=C4C(C%11=C(C)C=C(C%12=CC=C(C(O)=O)C=C%12)C(C)=C%11)=C3)C=C2C)C=C1)O
0,0,0,O=C(O)C1=CC=C(C2=CC=C(C=C2)/C3=C4C=CC(/C(C5=CC=C(C6=CC=C(C(O)=O)C=C6)C=C5)=C7C=C/C(N/7)=C(C(C=C/8)=NC8=C(C9=CC=C3N9)\C%10=CC=C(C%11=CC=C(C(O)=O)C=C%11)C=C%10)\C%12=CC=C(C%13=CC=C(C(O)=O)C=C%13)C=C%12)=N\4)C=C1
1,0,0,O=C(O)C1=CC=C(C#CC2=CC=C(C3=C(C4=C56)C=CC6=C(C7=CC=C(C#CC8=CC=C(C=C8)C(O)=O)C=C7)C=C(C9=CC=C(C#CC%10=CC=C(C=C%10)C(O)=O)C=C9)C5=CC=C4C(C%11=CC=C(C#CC%12=CC=C(C=C%12)C(O)=O)C=C%11)=C3)C=C2)C=C1
